peso,cirf,clasificacion
1.150058339,1.901536027,manzana
1.291293574,0.44945397,manzana
-0.544764476,-1.486655439,manzana
-1.250940649,-0.518600735,manzana
-1.533411119,-0.905822616,manzana
-0.262294007,0.44945397,manzana
0.302646931,0.352648499,manzana
0.161411697,0.44945397,manzana
1.714999277,1.030286793,manzana
-0.403529242,-1.002628087,manzana
0.161411697,0.933481322,manzana
0.86758787,-1.099433557,manzana
9.462760719,-14.52082057,manzana
-1.250940649,-1.002628087,manzana
1.703258618,-0.643221885,naranaja
1.703258618,2.215542047,naranaja
0.081107553,0.071469098,naranaja
-0.979529681,-0.357345491,naranaja
-1.104310532,-0.643221885,naranaja
0.081107553,0.071469098,naranaja
0.143497979,-0.643221885,naranaja
-0.729967979,-1.357912867,naranaja
-0.293235,0.500283688,naranaja
-0.605187128,0.786160081,naranaja
0.872345325,1.094546752,manzana
0.980423507,1.230154314,manzana
-0.424592857,-0.803959119,manzana
-0.964983767,-0.803959119,manzana
-1.18114013,-0.803959119,manzana
-0.100358312,0.416508941,manzana
0.331954416,0.280901379,manzana
0.223876234,0.416508941,manzana
1.412736234,1.094546752,manzana
-0.316514675,-0.803959119,manzana
1.845048962,1.365761877,manzana
-1.505374676,-1.888819617,manzana
-0.316514675,0.009686254,manzana
-0.856905585,-0.803959119,manzana
-0.568272836,0.708526676,naranaja
-0.568272836,-0.568097965,naranaja
0.312149868,-0.248941805,naranaja
-0.968464975,-0.568097965,naranaja
-0.888426547,-0.568097965,naranaja
0.392188296,-0.248941805,naranaja
0.472226723,-0.248941805,naranaja
-0.648311264,-0.248941805,naranaja
0.072034585,-0.248941805,naranaja
-0.568272836,-0.631929197,naranaja
